word,translations
кормить,['feed']
жить,['to live']
отдельно,['separately']
о,"['about', 'of', 'on', 'against']"
большой,['big']
гулять,['take a walk']
теперь,['now']
дружелюбный,['friendly']
лабрадор,['labradorite']
жизнь,['life']
более,['more']
начала,"[""Inflection of 'начало'"", ""Inflection of 'начать'""]"
уже,['already']
лежать,"['to lie down (Где?)', 'to be situated', 'to rest']"
прыгать,['jump']
прекрасно,['wonderfully']
солнце,['sun']
самый,"['the most', 'the very (same)']"
верный,"['true', 'loyal/faithful']"
лучший,['better']
почти,"['almost', 'almost']"
кроме,['except']
обычный,"['usual', 'ordinary']"
учебный,['educational']
чистить,"['to clean or brush', 'to peel']"
умываться,['wash oneself']
вставать,['get up']
так,"['so', 'exactly how']"
хлопья,"['flakes (think chiplike flakes, snowflakes etc)', 'cereal (cornflakes etc)']"
пирог,['pie']
первый,['first']
урок,['lesson']
математика,['mathematics']
русский,['Russian']
язык,"['tongue', 'language', 'prisoner']"
сложно,['it is complicated']
понять,"['to understand', 'clear']"
нас,['we']
перемена,"['change', 'transition']"
обедать,['to eat lunch']
маша,['Mary (name)']
кружок,"['circle', 'hobby group']"
немного,['a little']
дома,['at home']
задание,"['task', 'homework', 'assignment', 'quest']"
поэтому,['that is why']
до,"['to (direction)', 'to (distance)', 'before', 'until', 'up to (limit)']"
затем,['then']
ужинать,['have dinner']
же,['same']
кино,['cinema']
душ,['shower']
сначала,['firstly']
принимать,"['to accept', 'to take', 'to receive']"
примерно,"['around', 'approximately']"
утром,['in the morning']
пить,['to drink']
апельсиновый,['Adjective of апельсин']
правило,['rule']
полчаса,['half an hour']
собираться,"['to gather', 'intend to', 'to get ready']"
восемь,['eight']
быстро,['fast']
свой,"[""one's own (reflexive)""]"
рюкзак,['backpack']
офис,['office']
далеко,['far (away)']
от,"['from (away)', 'from (part of a whole)', 'from (cause)', 'from (distance)', 'from (someone)', 'from (range)', 'for', 'of']"
туда,['there']
полтора,['one and a half']
рабочий,"['a worker', 'working']"
десять,['ten']
митинг,['mass-meeting or rally']
обед,['lunch']
пельмени,['pelmeni']
винегрет,"['a cold dish from a mixture of vegetables eggs meat fish cut into pieces', '(joking) a mishmash']"
щи,['shchi']
шесть,['six']
около,['near']
супермаркет,['supermarket']
три,"['three', '3']"
спортзал,['gymnasium']
недалеко,['not far']
тренировка,['training']
час,"['hour', 'a watch']"
позже,['later']
наверное,"['probably', 'for sure']"
такой,"['such', 'be like this']"
распорядок,['order']
спальня,['main bedroom']
гостиная,['living room']
комната,['room']
площадь,"['area (geometry)', 'square', 'space']"
несмотря,['despite']
то,['then']
мало,"['little', 'too little']"
здесь,['here']
письменный,['writing']
стол,['table']
стул,"['chair', 'stool']"
шкаф,['closet']
кровать,['bed']
рядом,"['near', 'Next to']"
розетка,"['rosette', 'socket']"
справа,"['on the right', 'from the right']"
под,"['under', 'below', 'underneath', 'to go down/below', 'to go/put under something', '(impression, affection)', 'over']"
чтобы,"['so that', 'in order to']"
холодно,['it is cold']
обувь,['shoes']
проветрить,['to ventilate']
горшок,['pot']
четыре,['four']
весна,['spring']
лето,['summer']
осень,['autumn']
зима,['winter']
весной,"['in spring"" or during the spring']"
тепло,['warm']
природа,['nature']
таять,['melt']
снег,['snow']
довольно,"['enough', 'rather', 'content']"
жаркое,['roast']
летом,['in summer']
загорать,['to tan']
ездить,"['drive', 'go (by transport)']"
море,['sea']
дождливый,['rainy']
сезон,['season']
цвет,['color']
опадать,['fall']
погода,['Weather']
символ,['symbol']
темнеет,['it is getting dark']
январь,['January']
холодный,['cold']
месяц,"['month', 'moon']"
именно,['exactly']
ниже,['lower']
съездить,"['to go (ride)', 'trip']"
санкт-петербург,['Saint Petersburg']
давно,"['how long', 'a long time ago']"
быть,"['to be', ""(present tense) 'есть'  - there is"", 'has been']"
поездка,"['drive', 'trip']"
расстояние,['distance']
семьсот,['seven hundred']
каникулы,['student vacation']
дорога,['road']
сайт,['website']
обратно,['back']
вечер,['evening']
пораньше,"['early', 'as early as possible']"
сразу,"['immediately', 'at one stroke']"
ленинградский,['of or relating to the city of Leningrad']
метро,"['metro', 'subway', 'underground']"
поезд,['train']
тот,['that']
эрмитаж,['the Hermitage']
зимний,['Winter']
дворец,['palace']
воскресенье,['Sunday']
вечером,['in the evening']
радостный,['glad/joyous/joyful']
полный,"['full', 'absolute', 'exhaustive', 'stout', 'full of']"
отдохнувший,['someone who was doing (отдохну́ть)']
надо,"['need', 'it is necessary', '= над']"
будет,['will be']
выбираться,['get out']
питер,"['Piter (Saint Petersburg)', 'Peter']"
назад,"['back', 'ago']"
никак,['in no way']
привыкнуть,['get used to']
однако,"['however', ""you don't say! not really!""]"
вскоре,"['soon', 'In the near future in a short period of time']"
удобно,['it is convenient']
близко,['nearby']
если,"['if', 'in case']"
оно,['it']
выходные,['weekend']
просто,"['it is simple', 'just']"
люди,"['people', 'servants']"
конечно,"['certainly', 'of course']"
равно,"['is indifferent', 'equally', 'anyway']"
город,['city']
плотный,"['dense', 'compact', 'solidly built']"
надолго,['for a long time']
сегодня,['today']
бутерброд,['sandwich']
бодрящий,['bracing']
кофе,['coffee']
сладкое,['sweet course']
сахар,['sugar']
тратить,"['spend', 'to waste']"
девять,['nine']
этот,['this']
дом,['house']
просторный,['spacious']
светлый,"['light', 'blonde']"
уютный,['cozy']
кухня,['kitchen']
кабинет,"['office', 'classroom']"
посередине,['in the middle']
диван,['sofa']
возле,['near']
овальный,['oval']
ковёр,['carpet']
напротив,['opposite']
журнальный,['magazine']
меньше,"['less', 'smaller']"
окно,['window']
выход,"['exit', 'outlet', 'solution (way out)']"
мебель,['furniture']
кухонный,['Adjective of кухня - kitchen']
гарнитур,['set']
слева,"['on the left', 'from the left']"
обеденный,['lunch']
софа,['sofa']
полка,"['the shelf', 'the regiment']"
кресло,['armchair']
уборная,"['lavatory', 'dressing-room']"
трюмо,['cheval-glass']
комод,['chest of drawers']
двух,"['both', 'two (accusative animate / genitive)']"
ванная,['bathroom']
умывальник,['wash-stand']
зеркало,['mirror']
унитаз,"['lavatory pan', 'toilet']"
мягкий,"['soft', 'mild']"
коврик,"['small rug/carpet', 'mousepad']"
жалюзи,['Venetian blind']
дневной,['day']
свет,"['light', 'world']"
шестнадцать,['sixteen']
киев,['Kiev']
год,['year']
адрес,"['address', 'towards']"
улица,['street']
пять,['five']
квартира,"['flat', 'apartment']"
девятнадцать,['nineteen']
активно,['actively']
научиться,['learn']
недавно,['recently']
выезжать,['leave']
разное,['any other business']
помогать,['help']
знать,['to know']
правильно,"['right', 'correctly', 'properly']"
лечить,['heal']
всё,"['always', 'everything']"
том,"['(territorial) militia / police station', 'Labor Association Of Youth']"
ставить,['to put or place']
достигать,"['to reach get to', 'to attain']"
составить,"['amount to', 'compose', 'keep']"
план,['plan']
вот,['here']
улучшить,['improve']
английский,['English']
достаточно,"['it is enough', 'rather']"
устроиться,"['get a job', 'get oneself', 'arrange oneself']"
недостаточно,['it is insufficient']
нужно,['it is necessary']
пройти,"['to pass', 'to get to', ""to make one's way"", 'to be held (event)']"
курсы,['courses']
получить,"['receive', 'access']"
сертификат,['certificate']
сходить,['Go somewhere and having been there return back']
поход,"['march (physical)', 'tour', 'hiking']"
провести,"['spend', 'conduct', 'lead', 'hold', 'make', 'run']"
даже,['even']
обязательно,"['necessarily', 'without fail']"
разработать,['to develop or design']
маршрут,['route']
собрать,"['gather', 'to pick up']"
организовать,['organize']
сдать,"['rent out', 'take an exam', 'rat out', 'give', 'hand over']"
деньги,['money']
прежде,['before']
купить,['buy']
авто,['motor car']
обучение,['education/learning/studying']
экзамен,['examination']
полон,['captive (state of being captive)']
достичь,"['to reach', 'to achieve']"
университет,['university']
ходить,['go']
работать,"['work', 'open']"
наконец-то,['finally']
компания,['company']
волнительный,['exciting']
деловой,['(relational) business']
костюм,['costume']
заранее,"['in advance', 'beforehand', 'earlier']"
выглядеть,"['to look (like)', 'to look']"
профессионально,['professionally']
мужчина,['man']
чувство,"['sense', 'feeling']"
девушка,"['girl', 'miss (informal)', 'girlfriend']"
вникнуть,['delve go deep into consider carefully to understand']
получше,['a little better']
познакомиться,"['to meet', 'to get acquainted with']"
бар,['bar']
узнать,"['learn', 'recognize']"
долго,['a long time']
тебя,"['genitive and accusative of ""you""']"
ответ,['answer']
прочитать,"['read', 'give (public speaking)']"
об,['about']
скоро,['soon']
над,"['above', 'on', 'at']"
приехать,"['to arrive', 'to go']"
составлять,"['in total', 'amount to', 'make']"
список,['list']
бы,['would (be able to)']
вам,"['dative of ""you (plural)""', 'dative of ""you (formal)""']"
показать,"['to show', 'to display', 'to reveal', 'to point', 'to depose']"
очередь,"['queue', 'turn', 'phase']"
посетить,['visit']
сердце,"['heart', 'temper', 'love']"
там,['there']
кремль,"['kreml / kremlin (a fortified central complex)', 'the Kremlin (Moscow)']"
собор,['cathedral']
колокол,['bell']
вес,['weight']
количество,"['quantity', 'amount']"
музей,['museum']
алмазный,['алмаз']
фонд,"['fund', 'foundation']"
планетарий,['planetarium']
интересно,"['it is interesting', 'interested in']"
можно,"['one can (it is possible)', 'one may (it is allowed)']"
московский,['Moscow']
зоопарк,['zoological gardens']
парк,['park']
ждать,['to wait']
роман,['novel']
мечта,['dream']
новый,['new']
этап,['stage or part']
должность,"['position', 'situation']"
инвестировать,['invest']
земельный,['land']
участок,"['region', 'part', 'sector', 'police station']"
подходящий,['suitable']
вариант,"['version (revision, edition of a work)', 'idea (personal take on a concept)', 'option', 'variant']"
автомобиль,"['car (automobile)', 'motor vehicle']"
купленный,['bought']
замечать,['note']
машина,"['car', 'machine']"
ломаться,['break']
несколько,"['some', 'a few', 'several']"
продавать,['sell']
поменять,['change']
тип,"['type', 'character', 'man', 'like']"
внедорожник,['SUV']
сейчас,"['now', 'soon', 'at once']"
универсал,['all-round craftsman']
седан,['sedan']
осуществить,"['carry out', 'make something come true']"
закончить,['finish']
строительство,['construction']
сделать,['to make']
ремонт,['repair']
облагородить,['ennoble']

